timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,4,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,2,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,4,2
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,3,2
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,3,2
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,5,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,2,2
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,5,5
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,4,3
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,20. Aderencia Oferta-Perfil,20.1,Match preferencias x frete,5,1
