timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.1,14 dias sem login,5,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.2,30 dias sem frete,4,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.3,Queda 50% candidaturas,4,4
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.4,Alto valor + risco evasao,1,5
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.5,CNH vencendo (7 dias),1,3
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.6,Poucas ofertas aderentes,4,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,19. Alertas Automatizados,19.7,Ocorrencia recente + risco,3,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.1,14 dias sem login,3,3
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.2,30 dias sem frete,3,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.3,Queda 50% candidaturas,3,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.4,Alto valor + risco evasao,3,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.5,CNH vencendo (7 dias),4,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.6,Poucas ofertas aderentes,3,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,19. Alertas Automatizados,19.7,Ocorrencia recente + risco,1,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.1,14 dias sem login,3,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.2,30 dias sem frete,5,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.3,Queda 50% candidaturas,5,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.4,Alto valor + risco evasao,3,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.5,CNH vencendo (7 dias),5,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.6,Poucas ofertas aderentes,5,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,19. Alertas Automatizados,19.7,Ocorrencia recente + risco,1,2
