timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,2. Atividade no App,2.1,Ultimo acesso ao app,1,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,2. Atividade no App,2.2,Sessoes detalhadas,3,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,2. Atividade no App,2.3,Notificacoes abertas,5,3
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,2. Atividade no App,2.4,Tracking de notificacoes,2,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,2. Atividade no App,2.1,Ultimo acesso ao app,4,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,2. Atividade no App,2.2,Sessoes detalhadas,4,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,2. Atividade no App,2.3,Notificacoes abertas,3,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,2. Atividade no App,2.4,Tracking de notificacoes,1,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,2. Atividade no App,2.1,Ultimo acesso ao app,2,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,2. Atividade no App,2.2,Sessoes detalhadas,2,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,2. Atividade no App,2.3,Notificacoes abertas,3,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,2. Atividade no App,2.4,Tracking de notificacoes,4,1
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,2. Atividade no App,2.1,Ultimo acesso ao app,5,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,2. Atividade no App,2.2,Sessoes detalhadas,1,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,2. Atividade no App,2.3,Notificacoes abertas,1,1
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,2. Atividade no App,2.4,Tracking de notificacoes,1,5
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,2. Atividade no App,2.1,Ultimo acesso ao app,1,5
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,2. Atividade no App,2.2,Sessoes detalhadas,3,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,2. Atividade no App,2.3,Notificacoes abertas,4,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,2. Atividade no App,2.4,Tracking de notificacoes,1,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,2. Atividade no App,2.1,Ultimo acesso ao app,5,2
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,2. Atividade no App,2.2,Sessoes detalhadas,3,2
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,2. Atividade no App,2.3,Notificacoes abertas,3,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,2. Atividade no App,2.4,Tracking de notificacoes,5,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,2. Atividade no App,2.1,Ultimo acesso ao app,2,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,2. Atividade no App,2.2,Sessoes detalhadas,5,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,2. Atividade no App,2.3,Notificacoes abertas,4,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,2. Atividade no App,2.4,Tracking de notificacoes,4,2
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,2. Atividade no App,2.1,Ultimo acesso ao app,5,5
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,2. Atividade no App,2.2,Sessoes detalhadas,1,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,2. Atividade no App,2.3,Notificacoes abertas,5,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,2. Atividade no App,2.4,Tracking de notificacoes,2,2
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,2. Atividade no App,2.1,Ultimo acesso ao app,4,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,2. Atividade no App,2.2,Sessoes detalhadas,4,1
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,2. Atividade no App,2.3,Notificacoes abertas,5,2
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,2. Atividade no App,2.4,Tracking de notificacoes,3,3
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,2. Atividade no App,2.1,Ultimo acesso ao app,1,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,2. Atividade no App,2.2,Sessoes detalhadas,4,1
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,2. Atividade no App,2.3,Notificacoes abertas,3,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,2. Atividade no App,2.4,Tracking de notificacoes,3,3
