timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,1. Base Cadastral,1.1,Perfil completo do motorista,2,5
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,1. Base Cadastral,1.1b,Endereco com coordenadas,1,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,1. Base Cadastral,1.1c,Cidades onde opera,4,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,1. Base Cadastral,1.1,Perfil completo do motorista,1,3
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,1. Base Cadastral,1.1b,Endereco com coordenadas,1,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,1. Base Cadastral,1.1c,Cidades onde opera,2,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,1. Base Cadastral,1.1,Perfil completo do motorista,1,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,1. Base Cadastral,1.1b,Endereco com coordenadas,4,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,1. Base Cadastral,1.1c,Cidades onde opera,4,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,1. Base Cadastral,1.1,Perfil completo do motorista,1,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,1. Base Cadastral,1.1b,Endereco com coordenadas,3,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,1. Base Cadastral,1.1c,Cidades onde opera,2,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,1. Base Cadastral,1.1,Perfil completo do motorista,2,5
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,1. Base Cadastral,1.1b,Endereco com coordenadas,3,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,1. Base Cadastral,1.1c,Cidades onde opera,3,4
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,1. Base Cadastral,1.1,Perfil completo do motorista,3,4
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,1. Base Cadastral,1.1b,Endereco com coordenadas,3,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,1. Base Cadastral,1.1c,Cidades onde opera,5,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,1. Base Cadastral,1.1,Perfil completo do motorista,5,3
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,1. Base Cadastral,1.1b,Endereco com coordenadas,2,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,1. Base Cadastral,1.1c,Cidades onde opera,3,2
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,1. Base Cadastral,1.1,Perfil completo do motorista,5,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,1. Base Cadastral,1.1b,Endereco com coordenadas,1,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,1. Base Cadastral,1.1c,Cidades onde opera,5,1
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,1. Base Cadastral,1.1,Perfil completo do motorista,2,4
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,1. Base Cadastral,1.1b,Endereco com coordenadas,3,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,1. Base Cadastral,1.1c,Cidades onde opera,2,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,1. Base Cadastral,1.1,Perfil completo do motorista,4,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,1. Base Cadastral,1.1b,Endereco com coordenadas,4,3
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,1. Base Cadastral,1.1c,Cidades onde opera,5,3
