timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,7. Financeiro,7.1,Faturamento mensal,5,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,7. Financeiro,7.2,Pagamentos e adiantamentos,1,4
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,7. Financeiro,7.3,Extratos financeiros,2,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,7. Financeiro,7.4,Descontos e glosas,4,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,7. Financeiro,7.1,Faturamento mensal,5,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,7. Financeiro,7.2,Pagamentos e adiantamentos,5,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,7. Financeiro,7.3,Extratos financeiros,2,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,7. Financeiro,7.4,Descontos e glosas,5,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,7. Financeiro,7.1,Faturamento mensal,2,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,7. Financeiro,7.2,Pagamentos e adiantamentos,5,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,7. Financeiro,7.3,Extratos financeiros,5,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,7. Financeiro,7.4,Descontos e glosas,5,2
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,7. Financeiro,7.1,Faturamento mensal,2,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,7. Financeiro,7.2,Pagamentos e adiantamentos,3,2
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,7. Financeiro,7.3,Extratos financeiros,2,1
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,7. Financeiro,7.4,Descontos e glosas,5,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,7. Financeiro,7.1,Faturamento mensal,5,2
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,7. Financeiro,7.2,Pagamentos e adiantamentos,4,5
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,7. Financeiro,7.3,Extratos financeiros,4,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,7. Financeiro,7.4,Descontos e glosas,5,4
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,7. Financeiro,7.1,Faturamento mensal,2,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,7. Financeiro,7.2,Pagamentos e adiantamentos,3,4
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,7. Financeiro,7.3,Extratos financeiros,5,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,7. Financeiro,7.4,Descontos e glosas,5,3
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,7. Financeiro,7.1,Faturamento mensal,3,5
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,7. Financeiro,7.2,Pagamentos e adiantamentos,5,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,7. Financeiro,7.3,Extratos financeiros,3,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,7. Financeiro,7.4,Descontos e glosas,1,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,7. Financeiro,7.1,Faturamento mensal,1,5
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,7. Financeiro,7.2,Pagamentos e adiantamentos,4,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,7. Financeiro,7.3,Extratos financeiros,4,3
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,7. Financeiro,7.4,Descontos e glosas,3,5
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,7. Financeiro,7.1,Faturamento mensal,5,2
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,7. Financeiro,7.2,Pagamentos e adiantamentos,3,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,7. Financeiro,7.3,Extratos financeiros,1,1
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,7. Financeiro,7.4,Descontos e glosas,5,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,7. Financeiro,7.1,Faturamento mensal,4,3
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,7. Financeiro,7.2,Pagamentos e adiantamentos,2,4
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,7. Financeiro,7.3,Extratos financeiros,1,5
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,7. Financeiro,7.4,Descontos e glosas,2,2
