timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,5,4
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.2,Contratos concluidos,4,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.3,Contratos cancelados,1,5
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.4,Remocoes de contrato,3,5
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,2,2
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,5,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.2,Contratos concluidos,1,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.3,Contratos cancelados,3,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.4,Remocoes de contrato,4,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,2,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,4,2
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.2,Contratos concluidos,3,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.3,Contratos cancelados,5,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.4,Remocoes de contrato,3,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,4,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,2
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,3,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.2,Contratos concluidos,2,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.3,Contratos cancelados,2,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.4,Remocoes de contrato,4,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,4,1
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,3. Operacao e Fretes,3.6,Intervalo entre fretes,1,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,1,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.2,Contratos concluidos,5,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.3,Contratos cancelados,5,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.4,Remocoes de contrato,5,2
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,2,2
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,3. Operacao e Fretes,3.6,Intervalo entre fretes,3,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,2,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.2,Contratos concluidos,3,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.3,Contratos cancelados,5,2
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.4,Remocoes de contrato,3,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,3,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,3. Operacao e Fretes,3.6,Intervalo entre fretes,5,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,4,3
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.2,Contratos concluidos,5,5
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.3,Contratos cancelados,4,2
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.4,Remocoes de contrato,4,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,1,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,3
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,1,5
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.2,Contratos concluidos,2,2
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.3,Contratos cancelados,1,1
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.4,Remocoes de contrato,3,3
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,5,5
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,3. Operacao e Fretes,3.6,Intervalo entre fretes,3,4
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,1,2
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.2,Contratos concluidos,4,5
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.3,Contratos cancelados,1,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.4,Remocoes de contrato,4,5
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,4,5
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,5
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.1,Visualizacoes e candidaturas,1,3
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.2,Contratos concluidos,1,1
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.3,Contratos cancelados,4,5
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.4,Remocoes de contrato,4,1
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.5,Tempo ate primeiro frete,3,4
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,3. Operacao e Fretes,3.6,Intervalo entre fretes,4,4
