timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,2,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,2,4
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,8. Qualidade e Experiencia,8.3,Taxa de atendimento,5,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,4,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,4,4
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,8. Qualidade e Experiencia,8.3,Taxa de atendimento,1,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,1,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,4,1
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,8. Qualidade e Experiencia,8.3,Taxa de atendimento,3,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,5,5
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,3,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,8. Qualidade e Experiencia,8.3,Taxa de atendimento,5,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,2,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,5,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,8. Qualidade e Experiencia,8.3,Taxa de atendimento,3,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,5,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,4,5
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,8. Qualidade e Experiencia,8.3,Taxa de atendimento,3,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,4,1
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,2,5
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,8. Qualidade e Experiencia,8.3,Taxa de atendimento,2,4
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,4,4
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,4,4
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,8. Qualidade e Experiencia,8.3,Taxa de atendimento,4,1
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,2,4
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,3,2
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,8. Qualidade e Experiencia,8.3,Taxa de atendimento,3,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,8. Qualidade e Experiencia,8.1,Avaliacoes recebidas,2,5
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,8. Qualidade e Experiencia,8.2,Avaliacoes dadas,2,5
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,8. Qualidade e Experiencia,8.3,Taxa de atendimento,1,1
