timestamp,area_atuacao,tempo_atuacao,proximidade_motorista,secao,id,metrica,impacto_engajamento,impacto_retencao
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,4,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,5. Retencao,5.2,Churn por janela temporal,4,1
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,5. Retencao,5.3,Retencao operacional,1,3
2026-03-17T11:42:47.201Z,Logistica,12-18,varias_dia,5. Retencao,5.4,Retencao por coorte mensal,3,2
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,3,1
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,5. Retencao,5.2,Churn por janela temporal,2,5
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,5. Retencao,5.3,Retencao operacional,3,3
2026-03-17T11:42:54.030Z,RH,36-42,sem_contato,5. Retencao,5.4,Retencao por coorte mensal,1,5
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,2,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,5. Retencao,5.2,Churn por janela temporal,5,3
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,5. Retencao,5.3,Retencao operacional,2,4
2026-03-17T11:43:02.336Z,Produto,18-24,menos_1_mes,5. Retencao,5.4,Retencao por coorte mensal,2,4
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,1,3
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,5. Retencao,5.2,Churn por janela temporal,2,3
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,5. Retencao,5.3,Retencao operacional,2,2
2026-03-17T11:43:10.729Z,Tecnologia,42-48,menos_1_mes,5. Retencao,5.4,Retencao por coorte mensal,5,3
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,2,4
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,5. Retencao,5.2,Churn por janela temporal,3,5
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,5. Retencao,5.3,Retencao operacional,1,1
2026-03-17T11:43:18.546Z,Data Science,36-42,1_semana,5. Retencao,5.4,Retencao por coorte mensal,5,2
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,4,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,5. Retencao,5.2,Churn por janela temporal,3,3
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,5. Retencao,5.3,Retencao operacional,5,1
2026-03-17T11:43:26.848Z,Tecnologia,36-42,varias_dia,5. Retencao,5.4,Retencao por coorte mensal,2,5
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,4,2
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,5. Retencao,5.2,Churn por janela temporal,5,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,5. Retencao,5.3,Retencao operacional,4,4
2026-03-17T11:43:34.621Z,Marketing,36-42,1_dia,5. Retencao,5.4,Retencao por coorte mensal,4,4
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,1,3
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,5. Retencao,5.2,Churn por janela temporal,5,3
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,5. Retencao,5.3,Retencao operacional,5,5
2026-03-17T11:43:42.425Z,Marketing,54-60,menos_1_mes,5. Retencao,5.4,Retencao por coorte mensal,2,1
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,3,4
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,5. Retencao,5.2,Churn por janela temporal,5,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,5. Retencao,5.3,Retencao operacional,1,3
2026-03-17T11:43:50.226Z,Marketing,36-42,menos_1_mes,5. Retencao,5.4,Retencao por coorte mensal,1,4
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,5. Retencao,5.1,Retencao D7/D15/D30/D60/D90,2,1
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,5. Retencao,5.2,Churn por janela temporal,3,1
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,5. Retencao,5.3,Retencao operacional,3,2
2026-03-17T11:43:58.591Z,Logistica,18-24,menos_1_mes,5. Retencao,5.4,Retencao por coorte mensal,5,5
